user;calendar_date;market;registration_date;bet;win;session_duration_min;bonus
ee4f7c89d7080868825d2ffdd0d2f6fd;2012-03-08;Tallinn;2010-12-14;8.5;8.71;14;11.89
d189b0898ad5bcc567499d57b052490b;2012-03-07;Tallinn;2010-12-27;79.25;86.9;31.3;0
f73f78d17d51f564e69627944806a141;2012-03-08;Tallinn;2011-10-14;208.33;213.57;12.1;0
46749ed216109738ff5a2c826fe19699;2012-03-23;Tallinn;2011-12-04;225.13;242.84;2.5;0
e8d9f288f8df372d0231c63f9488e50d;2012-01-19;Tallinn;2011-07-09;417.35;390.4;31.2;13.84
f37f3e677972632732a9c5b68055dcc4;2012-03-17;Tallinn;2011-07-08;178.16;179.34;35.3;0
be50699dc6f8d9e144350ede040c1d2b;2012-03-06;Tartu;2011-07-08;169.59;167.41;41.7;0
e4301419e7db3778923f9a02c78a028e;2012-02-18;Tallinn;2011-08-22;207.83;229.44;36.7;3.9
1c3130f69f77ed3620cc5b6a458483a3;2012-02-12;Tallinn;2010-09-24;82.17;78.57;24;0
e52b7e55ef7e0e9ac4bad9e974d47436;2012-03-17;Tallinn;2010-09-18;318;296.78;27.7;0
4886453fe77cf9216858220465dd86ce;2012-02-21;Tallinn;2010-11-16;106.49;115.67;14.4;3.73
ecba813071cc79761a54a793db471b91;2012-01-28;Tallinn;2010-11-20;82.97;94.61;26.1;0
9b2db39a52ecea6a4f38c73a5c056c71;2012-02-23;Tallinn;2011-11-23;229.02;198.28;19.9;0
d7c5202f924ecdd542c8540bc54c9648;2012-01-10;Narva;2011-04-21;8.66;304.53;17.1;0
ad3921459a11a2b3c3e0f9fcb1add6ca;2012-02-12;Tallinn;2011-07-19;585.89;496.41;15.8;0
7acd5a3803a668efd7b743642e4aaa8b;2012-03-20;Tallinn;2011-02-13;303;293.05;37.2;0
33398050d585301e2bb3d4b7905b2607;2012-01-19;Tallinn;2011-03-27;240.1;213.59;10.6;0
ae2d2266b7b485a68920d399bc9afe25;2012-03-21;Tallinn;2011-10-30;303.57;288.35;14.5;0
90dbd45b517f23305fe3a6ec9a50624a;2012-03-21;Tallinn;2010-11-02;248.95;243.59;0.2;0
7638b750b345a5e256c6a4b60978d6b7;2012-03-05;Narva;2011-03-06;4.85;551.37;14.4;0
4bbf5320c41e738d684e5e0af5e10ee7;2012-03-30;Tallinn;2010-11-12;190.99;184.83;10.9;0
386963b106c2626b94df4ead86557896;2012-03-29;Tallinn;2011-07-17;21.49;24.99;21.6;0
b81d8550ddd16115953494858a2a57f4;2012-02-28;Tartu;2011-05-20;20.13;253.61;5.8;0
a65e5e126b49bbe7d36054b70eff4882;2012-03-03;Tallinn;2010-10-29;473.77;460.3;63.7;0
cbce94f7e3d3946565290714082c392c;2012-02-18;Tallinn;2011-11-10;103.39;94.59;18.8;0
8a280e3726ed1d2493da2cb72a8fdff4;2012-03-12;Tallinn;2010-09-23;250.38;243.48;34.6;0
b20c42c1b1c573a5684161e909bc47db;2012-01-15;Tallinn;2010-12-29;186.17;172.52;10.6;0
41a2ac0e667e1337f4dd79f568163c38;2012-02-25;Narva;2012-01-01;1153452.95;1220056.88;24.8;0
7638b750b345a5e256c6a4b60978d6b7;2012-03-25;Narva;2011-03-06;19.63;592.51;22.5;0
13030f11a22802650293c04ed20afdb5;2012-03-27;Tallinn;2011-10-01;103;98.83;26.4;0
efe305a727f71d906b9fb62694f9775d;2012-01-10;Tallinn;2010-08-09;54.3;47.71;43.5;0
a1ff7d098ff1a80a811f274bf382f86b;2012-03-24;Tallinn;2011-08-21;40.2;38.55;95;0
be273adedb3d5fe0c6be138b5625487b;2012-03-13;Tallinn;2011-09-08;345.95;327.59;22.4;0
5bd097362f90e3dff943e1d3ed71896d;2012-03-03;Tallinn;2010-10-29;167.14;128.3;27.4;0
f50b5e367465a132ff6bd544344d0c02;2012-03-20;Tallinn;2011-05-14;86.06;76.38;14.3;0
9b00c205468daa01c905ece78c8fe507;2012-02-15;Tallinn;2010-11-30;220.92;213.02;3.3;0
15a9e2300a08b1c2d6a2540ffbb9230a;2012-03-19;Tartu;2011-02-28;-2.64;269.11;56.4;0
b22d46ea5bbfe08d657b1f9c8ba7e305;2012-01-01;Tallinn;2010-12-23;349.6;363.01;68.8;0
634dd084b55ac67de3710dfbc75dbdf9;2012-02-24;Tallinn;2011-08-16;448.46;454.7;22.7;0
371f38caafc18525d27988771064adf6;2012-02-07;Tallinn;2010-12-16;52.77;53.83;74.3;0
c2d993a1e8c20742d8030311c6920bc0;2012-03-18;Tallinn;2011-08-10;143.25;125.32;47.3;0
b5093b8adbc1b411631a0e2ae1fb37e4;2012-03-12;Tallinn;2011-07-07;266.48;254.46;120.4;0
8a35c58d9747dc99cee13342b627e4ea;2012-02-19;Tallinn;2011-09-19;119.21;121.05;63.5;10.56
2af30b89dc36b73bd535f44186c9224c;2012-02-21;Tallinn;2011-08-05;464.56;415.37;34;0
5b2182ee171c3669866083c293f78b07;2012-02-10;Tallinn;2011-11-30;135595.72;126757.55;25.8;13881.58
3cf9134fd346c472225d9a5da6333921;2012-01-13;Narva;2012-01-01;252983.92;247339.98;33.4;0
50fc3be9796952ad5d2d2e0b770f3ae6;2012-02-16;Narva;2011-01-24;44.35;104.27;58.7;0
50ddb8a8a4c1306dd44d52e7260fabce;2012-03-17;Tallinn;2011-04-15;299.46;295.94;21.3;0
